Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,2010,13.2,10,Philippe Sella  Mathieu Blin  David Darricarrère,Stade Armandie,14 000
Aviron bayonnais,2004,17.9,12,Christophe Deylaud  Christian Lanta,Stade Jean-Dauger,16 934
Biarritz olympique,1996,17.3,9,Laurent Rodriguez  Serge Milhas  John Isaac puis  Laurent Rodriguez  Didier Faugeron,Parc des sports d'Aguiléra,15 000
Bordeaux Bègles,2011,11.9,8,Raphaël Ibañez  Régis Sonnes  Vincent Etcheto  Joe Worsley,Stade André-Moga Stade Chaban-Delmas,9 600 34 694
Castres olympique,1989,15.6,4,Laurent Labit  Laurent Travers,Stade Pierre-Antoine,11 500
ASM Clermont Auvergne,1925,25.5,2,Vern Cotter  Franck Azéma,Stade Marcel-Michelin,18 030
FC Grenoble,2012,14.9,1 (Pro D2),Fabrice Landreau  Sylvain Bégon  Franck Corrihons,Stade Lesdiguières Stade des Alpes,11 900 20 068
Stade montois,2012,6.2,3 (Pro D2),Marc Dantin puis Scott Murray Stéphane Prosper,Stade Guy-Boniface,10 000
Montpellier HR,2003,17.5,5,Fabien Galthié  Mario Ledesma  Stéphane Glas,Stade Yves-du-Manoir,14 700
Stade français Paris,1997,22.8,7,Richard Pool-Jones  Christophe Laussucq  David Auradou,Stade Charléty Stade de France,20 000
USA Perpignan,1911,14.4,11,Marc Delpoux  Giampiero de Carli  Patrick Arlettaz,Stade Aimé-Giral,14 593
Racing Métro 92,2009,21.7,6,Gonzalo Quesada  Simon Raiwalui,Stade Yves-du-Manoir Stade de France,14 000
RC Toulon,2008,21.8,3,Bernard Laporte  Pierre Mignoni  Olivier Azam,Stade Mayol,15 000
Stade toulousain,1907,34.9,1 (Champion),Guy Novès  William Servat  Jean-Baptiste Élissalde,Stade Ernest-Wallon Stadium municipal,19 500
