Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Bayonne,G,N,P,P,P,P,N,P,P,P,G,G,P,P,P,P,G,P,N,P,G,P,P,P,G,P
Bordeaux-Bègles,G,P,P,G,P,G,G,G,P,G,G,G,P,P,P,P,N,P,P,G,P,G,P,G,P,P
Brive,N,G,G,P,G,P,G,P,P,G,P,G,P,G,P,G,P,P,G,G,P,G,G,P,P,G
Castres,G,N,P,P,G,G,P,P,G,P,G,G,G,P,G,P,G,G,G,P,G,P,P,P,G,P
Clermont,N,G,N,G,G,P,G,G,G,G,P,G,P,G,P,G,N,G,P,P,G,P,P,G,G,G
Grenoble,P,P,P,G,P,P,P,G,P,P,P,P,P,G,P,P,G,P,G,P,N,G,P,P,P,G
Lyon,N,P,G,P,G,P,N,G,P,G,P,P,P,P,G,P,G,P,G,G,P,G,G,G,P,P
Montpellier,P,P,G,G,G,G,P,G,G,P,G,P,G,G,P,G,P,G,P,G,G,P,G,G,P,G
Pau,P,P,G,P,G,G,P,P,P,P,G,P,G,G,G,G,G,G,N,G,P,P,P,P,G,P
Racing 92,P,G,G,P,G,P,P,G,G,G,P,G,N,G,P,G,P,G,P,P,P,G,G,G,P,G
La Rochelle,N,G,G,G,P,G,P,N,P,G,G,P,N,G,G,G,G,G,G,G,G,G,G,P,G,P
Stade français,G,P,N,G,P,P,G,P,G,P,P,G,G,P,G,P,P,P,G,P,P,G,G,G,G,P
Toulon,P,G,P,G,P,G,G,N,G,P,G,P,G,P,G,P,P,G,P,G,N,P,G,G,G,G
Toulouse,G,G,P,P,P,G,G,P,G,G,P,P,G,P,G,G,P,P,P,P,G,P,P,P,P,G
