Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Aviron bayonnais,2016,16.8,2e (Pro D2),Vincent Etcheto  Dewald Senekal,Stade Jean-Dauger (Bayonne),16 934
Union Bordeaux Bègles,2011,24.2,7e,Raphaël Ibañez  Jacques Brunel  Émile Ntamack  Joe Worsley,Stade Chaban-Delmas (Bordeaux) Stade Matmut-Atlantique (Bordeaux),34 694 42 115
CA Brive,2013,16.4,8e,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech (Brive-la-Gaillarde),13 979
Castres olympique,1989,20.6,6e,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Antoine (Castres),11 500
ASM Clermont,1926,30.5,1er,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin (Clermont-Ferrand),19 022
Racing 92,2009,25.4,4e (T),Laurent Travers  Laurent Labit  Ronan O'Gara,Stade Yves-du-Manoir (Colombes) Stade Pierre-Mauroy (Villeneuve-d'Ascq),14 000 50 157
FC Grenoble,2012,21.7,10e,Bernard Jackman  Aaron Dundon  Mike Prendergast,Stade des Alpes (Grenoble),20 068
Montpellier HR,2003,24.2,3e,Jake White  Shaun Sowerby Scott Wisemantel,Altrad Stadium (Montpellier),15 000
Lyon OU,2016,24.6,1er (Pro D2),Pierre Mignoni  Sébastien Bruno David Ellis,Matmut Stadium Gerland (Lyon) Matmut Stadium (Vénissieux),24 000[2] 11 805
Stade français,1997,27.6,12e,Gonzalo Quesada  Simon Raiwalui  Greg Cooper,Stade Jean-Bouin (Paris),20 000
Section paloise,2015,19.6,11e,Simon Mannix  Carl Hayman  Frédéric Manca,Stade du Hameau (Pau),13 800
Stade rochelais[3],2014,18.2,9e,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre (La Rochelle),15 000
RC Toulon,2008,25.5,2e,Mike Ford  Marc Dal Maso,Stade Mayol (Toulon) Orange Vélodrome (Marseille),16 128 67 394
Stade toulousain,1907,31.5,5e,Ugo Mola  Jean-Baptiste Élissalde  William Servat,Stade Ernest-Wallon (Toulouse) Stadium (Toulouse),19 500 33 150
