Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,2017,12.5,12e,Philippe Sella  Christophe Laussucq  Rémy Vaquin  Benoît Lecouls,Stade Armandie (Agen),14 042
Aviron bayonnais,2019,16.6,3e (Pro D2),Yannick Bru  Joël Rey  Rémy Ladauge,Stade Jean-Dauger (Bayonne),16 934
Union Bordeaux Bègles,2011,26.3,10e,Christophe Urios  Frédéric Charrier  Julien Laïrle  Jean-Baptiste Poux  Heini Adams,Stade Chaban-Delmas (Bordeaux),34 694
CA Brive,2019,16.8,1er (Pro D2),Jeremy Davidson  Marc Dal Maso  Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13 979
Castres olympique,1989,25.0,7e,Mauricio Reggiardo  Stéphane Prosper  Patrick Furet  Joe Worsley,Stade Pierre-Fabre (Castres),12 500
ASM Clermont,1925,33.7,2e,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19 022
Lyon OU,2016,33.6,3e,Pierre Mignoni  David Gérard  Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),35 029[6]
Montpellier HR,2003,31.8,6e,Xavier Garbajosa  Pierre-Philippe Lafond  Nathan Hines,GGL Stadium (Montpellier),15 697
Stade français,1997,40.2,8e,Heyneke Meyer  Pieter de Villiers  Dewald Senekal  Ricardo Loubscher  John McFarland  Laurent Sempéré  Julien Arias,Stade Jean-Bouin (Paris),20 000[7]
Section paloise,2015,24.2,11e,Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18 324
Racing 92,2009,28.9,4e,Laurent Travers  Mike Prendergast  Patricio Noriega  Chris Masoe,Paris La Défense Arena (Nanterre),32 000
Stade rochelais,2014,29.0,5e,Jono Gibbes  Ronan O'Gara  Grégory Patat  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16 000
RC Toulon,2008,30.7,9e,Patrice Collazo Éric Dasalmartini Sébastien Tillous-Borde Casey Laulala,Stade Mayol (Toulon),18 200
Stade toulousain,1907,37.2,1er,Ugo Mola  Régis Sonnes  Clément Poitrenaud  Laurent Thuéry  Virgile Lacombe  Alan-Basson Zondagh,Stade Ernest-Wallon (Toulouse),19 500
