0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,BAY,UBB,BRI,CAS,CLE,LOU,MHR,SFR,PAU,RAC,ROC,RCT,TOU
SU Agen,,27-29,-,16-10,24-43,15-32,12-13,29-10,27-14,-,-,-,25-44,8-13
Aviron bayonnais,22-23,,-,6-6,27-17,30-34,-,28-24,28-17,3-9,-,23-22,-,20-10
Bordeaux Bègles,23-0,22-3,,-,26-24,42-15,37-19,-,52-3,-,-,20-15,34-12,30-25
CA Brive,16-30,-,30-9,,-,28-21,30-16,-,26-21,33-26,20-44,-,39-17,23-9
Castres olympique,30-27,-,32-34,28-26,,-,29-12,26-25,46-16,26-16,0-27,-,-,-
ASM Clermont,30-13,-,22-31,-,39-22,,24-15,20-13,29-19,28-37,-,28-10,-,-
Lyon OU,-,52-9,25-23,59-3,-,-,,-,43-9,27-8,29-20,45-17,27-12,22-12
Montpellier HR,-,31-29,17-17,29-26,-,-,33-8,,20-20,43-22,-,30-16,-,33-22
Stade français,-,33-27,-,-,-,18-32,-,-,,21-18,9-25,21-20,33-30,30-18
Section paloise,18-12,-,23-27,33-14,37-24,20-23,-,19-15,-,,3-31,13-44,9-19,-
Racing 92,27-27,17-24,30-34,-,23-14,27-19,20-31,29-25,-,-,,49-0,-,30-27
Stade rochelais,40-8,-,-,41-17,22-13,-,-,35-30,28-26,-,12-6,,17-12,28-13
RC Toulon,-,20-9,-,34-17,43-3,41-19,6-20,19-19,19-18,-,32-29,23-3,,-
Stade toulousain,-,45-10,22-14,-,36-15,34-8,-,25-7,-,24-23,20-17,-,13-13,
