Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Aviron bayonnais,2004,15.76,10,/ Patricio Noriega  Nicolas Morlaes,Stade Jean-Dauger,16 934
Union Bordeaux Bègles,2011,15.86,8,Raphaël Ibañez  Régis Sonnes  Vincent Etcheto  Joe Worsley,Stade Chaban-Delmas et stade André-Moga[Note 1].[2],34 694 et 7 700
CA Brive,2013,13.63,9,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech,13 979
Castres olympique,1989,19.04,6,Matthias Rolland  David Darricarrère,Stade Pierre-Antoine,11 500
ASM Clermont,1925,27.9,3,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin,18 030
FC Grenoble,2012,20.77,11,Fabrice Landreau  Bernard Jackman  Sylvain Bégon  Mike Prendergast,Stade des Alpes[3],20 068
Lyon OU,2014,21.03,1 (Pro D2),Olivier Azam  Scott Wisemantel,Matmut Stadium[Note 2],11 807
Montpellier HR,2003,22.54,2,Fabien Galthié puis Jake White  Mario Ledesma puis Shaun Sowerby  Stéphane Glas,Altrad Stadium,14 700
US Oyonnax,2013,14.28,12,Christophe Urios  Frédéric Charrier  Joe El Abd,Stade Charles-Mathon,11 400
Stade français,1997,25.28,7,Gonzalo Quesada  Simon Raiwalui  Jean-Frédéric Dubois,Stade Jean-Bouin,20 000
Racing Métro 92,2009,25.36,5,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade olympique Yves-du-Manoir,14 000
Stade rochelais,2014,14.47,3 (Pro D2),Patrice Collazo  Fabrice Ribeyrolles puis  Xavier Garbajosa,Stade Marcel-Deflandre,15 000
RC Toulon,2008,25.37,1,Bernard Laporte  Jacques Delmas  Pierre Mignoni,Stade Mayol[Note 3],15 820
Stade toulousain,1907,35.02,4,Guy Novès  William Servat  Jean-Baptiste Élissalde,Stade Ernest-Wallon[Note 4],19 500
