Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Agen,P,G,P,P,P,P,P,P,G,P,G,P,G,P,G,P,P,G,G,P,P,P,G,G,G,P
Bordeaux-Bègles,G,P,G,P,G,G,G,P,P,G,N,P,G,P,G,P,P,P,P,P,G,P,G,P,P,P
Brive,P,P,P,P,P,P,G,P,G,P,N,G,P,G,G,P,P,P,P,P,P,G,P,P,P,G
Castres,P,G,P,P,P,G,P,G,G,G,G,G,G,G,P,P,G,G,P,P,G,P,G,G,P,G
Clermont,P,G,P,G,G,P,P,G,P,G,N,G,P,P,P,P,P,P,G,G,G,P,P,G,P,G
Lyon,G,G,P,G,G,G,G,G,P,P,P,P,P,G,P,G,G,P,G,G,P,P,G,G,P,G
Montpellier,G,G,G,G,P,G,P,G,G,G,P,P,G,P,G,G,G,G,P,G,P,G,G,P,G,P
Oyonnax,N,P,G,P,P,P,P,P,P,P,N,P,P,P,N,P,P,G,G,G,G,P,P,G,G,P
Paris,P,G,P,P,P,G,G,P,P,G,P,G,P,G,P,P,P,P,P,G,P,P,G,P,G,P
Pau,P,P,G,G,G,P,G,P,P,G,P,G,G,P,G,G,G,G,G,G,P,G,P,P,P,G
Racing 92,G,P,G,G,P,P,P,G,G,G,G,P,G,G,G,G,G,P,G,P,G,G,G,P,G,G
La Rochelle,G,P,G,G,G,P,G,G,G,P,G,G,P,G,N,G,P,P,P,P,G,G,P,P,P,G
Toulon,G,P,G,P,G,G,P,G,P,P,P,G,G,P,P,G,G,G,P,G,P,G,P,G,G,P
Toulouse,N,G,P,G,G,G,G,P,G,P,G,P,P,G,P,G,G,G,G,P,G,G,P,G,G,P
