Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Montpellier HR,26,17,0,9,98,59,12,1,752,559,193,81
2,Racing 92,26,18,0,8,73,45,5,3,622,478,144,80
3,Stade toulousain,26,16,1,9,80,62,4,4,719,595,124,74
4,RC Toulon,26,14,0,12,93,52,9,8,766,507,259,73
5,Lyon OU,26,15,0,11,78,54,7,3,689,541,148,70
6,Castres olympique,26,15,0,11,69,66,4,5,638,624,14,69
7,Stade rochelais,26,14,1,11,81,52,6,3,686,531,155,67
8,Section paloise,26,15,0,11,58,66,2,4,590,584,6,66
9,ASM Clermont T,26,11,1,14,67,76,4,4,629,687,-58,54
10,Union Bordeaux Bègles,26,10,1,15,54,74,3,3,557,623,-66,48
11,SU Agen P,26,10,0,16,59,96,2,4,537,757,-220,46
12,Stade français Paris,26,9,0,17,58,87,2,4,540,740,-200,42
13,US Oyonnax P,26,7,3,16,55,101,1,4,566,824,-258,39
14,CA Brive,26,7,1,18,50,83,1,5,485,726,-241,36
