Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Union Bordeaux Bègles,2011,24.68,11e,Jacques Brunel  Rory Teague  Jeremy Davidson  Joe Worsley,Stade Chaban-Delmas (Bordeaux),34 694
CA Brive,2013,17.58,8e,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau  Jean-Baptiste Péjoine Sébastien Bonnet,Stade Amédée-Domenech (Brive-la-Gaillarde),13 979
Castres olympique,1989,21.73,5e,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12 500
ASM Clermont,1925,31.55,2e,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19 022
Montpellier HR,2003,26.9,3e,Vern Cotter  Nathan Hines Alex King,Altrad Stadium (Montpellier),15 697
US Oyonnax,2017,15.42,1er (Pro D2),Adrien Buononato  Jamie Cudmore  Vincent Krischer  Mike Prendergast,Stade Charles-Mathon (Oyonnax),11 400
Lyon OU,2016,27.08,10e,Pierre Mignoni  Sébastien Bruno  David Attoub  Karim Ghezal Kendrick Lynn,Matmut Stadium Gerland (Lyon),35 029
Racing 92,2009,24.91,6e,Laurent Travers  Laurent Labit  Ronan O'Gara  Chris Masoe,U Arena (Nanterre) Stade olympique Yves-du-Manoir (Colombes),32 000 14 000
Stade français,1997,30.16,7e,Greg Cooper  Olivier Azam  Julien Dupuy,Stade Jean-Bouin (Paris),15 500[2]
Section paloise,2015,23.02,9e,Simon Mannix  Carl Hayman  Frédéric Manca,Stade du Hameau (Pau),18 324
SU Agen,2017,12.32,2e (Pro D2),Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14 042
Stade rochelais,2014,22.81,1re,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre (La Rochelle),16 000
RC Toulon,2008,26.39,4e,Fabien Galthié  Fabrice Landreau  Marc Dal Maso  Manny Edmonds,Stade Mayol (Toulon),18 200
Stade toulousain,1907,30.86,12e,Ugo Mola  William Servat  Pierre-Henry Broncan  Jean Bouilhou,Stade Ernest-Wallon (Toulouse),19 500
