Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année,Rang,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,J1_x,J2_x,J3_x,J4_x,J5_x,J6_x,J7_x,J8_x,J9_x,J10_x,J11_x,J12_x,J13_x,J14_x,J15_x,J16_x,J17_x,J18_x,J19_x,J20_x,J21_x,J22_x,J23_x,J24_x,J25_x,J26_x,J1_y,J2_y,J3_y,J4_y,J5_y,J6_y,J7_y,J8_y,J9_y,J10_y,J11_y,J12_y,J13_y,J14_y,J15_y,J16_y,J17_y,J18_y,J19_y,J20_y,J21_y,J22_y,J23_y,J24_y,J25_y,J26_y,JR1,JR2,JR3
RC Toulon,2008,25.5,2,Mike Ford  Marc Dal Maso,Stade Mayol (Toulon) Orange Vélodrome (Marseille),,2016,4,26,14,2,10,68,50,5,4,674,511,163,69,10,10,11,4,8,5,3,4,2,3,3,5,3.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,D,V,D,V,D,V,V,N,V,D,V,D,V,D,V,D,D,V,D,V,N,D,V,V,V,V,,,
Stade toulousain,1907,31.5,5,Ugo Mola  Jean-Baptiste Élissalde  William Servat,Stade Ernest-Wallon (Toulouse) Stadium (Toulouse),,2016,12,26,11,0,15,53,46,3,6,537,561,-24,53,3,1,5,9,11,10,5,6,5,4,6,8,7.0,7.0,6.0,4.0,7.0,8.0,8.0,10.0,7.0,10.0,12.0,12.0,12.0,12.0,V,V,D,D,D,V,V,D,V,V,D,D,V,D,V,V,D,D,D,D,V,D,D,D,D,V,,,
Union Bordeaux Bègles,2011,24.68,11,Jacques Brunel  Rory Teague  Jeremy Davidson  Joe Worsley,Stade Chaban-Delmas (Bordeaux),34694.0,2017,10,26,10,1,15,54,74,3,3,557,623,-66,48,5,8,5,9,7,6,5,6,7,6,7,8,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,V,D,V,D,V,V,V,D,D,V,N,D,V,D,V,D,D,D,D,D,V,D,V,D,D,D,,,
CA Brive,2013,17.58,8,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau  Jean-Baptiste Péjoine Sébastien Bonnet,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2017,14,26,7,1,18,50,83,1,5,485,726,-241,36,12,14,14,14,14,14,14,14,13,13,13,12,13.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,13.0,13.0,14.0,14.0,14.0,D,D,D,D,D,D,V,D,V,D,N,V,D,V,V,D,D,D,D,D,D,V,D,D,D,V,,,
Castres olympique,1989,21.73,5,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12500.0,2017,6,26,15,0,11,69,66,4,5,638,624,14,69,9,3,7,10,10,10,11,10,8,7,6,5,3.0,3.0,4.0,4.0,7.0,5.0,6.0,7.0,8.0,8.0,8.0,6.0,6.0,6.0,D,V,D,D,D,V,D,V,V,V,V,V,V,V,D,D,V,V,D,D,V,D,V,V,D,V,,,
ASM Clermont,1925,31.55,2,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2017,9,26,11,1,14,67,76,4,4,629,687,-58,54,10,9,13,7,8,9,9,9,10,9,9,9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,D,V,D,V,V,D,D,V,D,V,N,V,D,D,D,D,D,D,V,V,V,D,D,V,D,V,,,
Montpellier HR,2003,26.9,3,Vern Cotter  Nathan Hines Alex King,Altrad Stadium (Montpellier),15697.0,2017,1,26,17,0,9,98,59,12,1,752,559,193,81,1,1,1,1,1,1,2,2,2,1,1,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,V,V,V,V,D,V,D,V,V,V,D,D,V,D,V,V,V,V,D,V,D,V,V,D,V,D,,,
US Oyonnax,2017,15.42,15,Adrien Buononato  Jamie Cudmore  Vincent Krischer  Mike Prendergast,Stade Charles-Mathon (Oyonnax),11400.0,2017,13,26,7,3,16,55,101,1,4,566,824,-258,39,8,12,9,11,11,12,12,12,14,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,13.0,13.0,13.0,N,D,V,D,D,D,D,D,D,D,N,D,D,D,N,D,D,V,V,V,V,D,D,V,V,D,,,
Lyon OU,2016,27.08,10,Pierre Mignoni  Sébastien Bruno  David Attoub  Karim Ghezal Kendrick Lynn,Matmut Stadium Gerland (Lyon),35029.0,2017,5,26,15,0,11,78,54,7,3,689,541,148,70,3,2,6,3,3,2,1,1,1,2,3,3,7.0,7.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,V,V,D,V,V,V,V,V,D,D,D,D,D,V,D,V,V,D,V,V,D,D,V,V,D,V,,,
Racing 92,2009,24.91,6,Laurent Travers  Laurent Labit  Ronan O'Gara  Chris Masoe,U Arena (Nanterre) Stade olympique Yves-du-Manoir (Colombes),,2017,2,26,18,0,8,73,45,5,3,622,478,144,80,6,6,2,2,5,7,8,7,6,4,4,4,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,V,D,V,V,D,D,D,V,V,V,V,D,V,V,V,V,V,D,V,D,V,V,V,D,V,V,,,
