Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
USA Perpignan,4,8,5,3,3,3,2,3,5,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
SC Albi,7,4,8,10,11,10,11,12,11,9,10,11,12,11,11,12,12,12,12,11,11,11,11,11,12,12,2007
FC Auch Gers,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2007
Aviron bayonnais,3,2,5,7,6,7,8,6,8,5,5,7,9,7,8,9,10,11,10,9,9,8,9,9,9,9,2007
Biarritz Olympique,8,5,9,6,4,3,2,4,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,5,6,7,2007
CS Bourgoin-Jallieu,4,3,2,5,8,6,7,9,7,10,8,5,8,10,7,8,9,9,9,10,10,10,10,10,11,10,2007
CA Brive,11,12,13,14,12,12,12,10,12,12,12,12,11,12,12,11,11,10,11,12,12,12,12,12,10,11,2007
Castres olympique,6,10,10,11,9,11,9,11,10,7,9,9,7,6,6,6,7,6,6,6,5,5,5,6,5,5,2007
ASM Clermont,10,6,3,2,1,1,3,2,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2007
US Dax,13,13,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2007
US Montauban,12,8,6,8,7,8,6,7,9,11,11,10,10,8,9,10,8,8,7,7,7,9,7,7,8,8,2007
Montpellier HR,4,9,7,4,3,5,5,5,5,6,6,8,6,9,10,7,6,7,8,8,8,7,8,8,7,6,2007
Stade français Paris,1,7,4,3,5,4,4,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,4,2007
Stade toulousain,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,3,3,2,2007
USA Perpignan,9,11,12,9,10,9,10,8,6,8,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,3,2007
Aviron bayonnais,7,4,2,5,3,2,4,4,4,3,2,4,4,4,4,5,4,4,4,4,5,6,5,5,7,7,2008
Biarritz Olympique,6,3,7,4,6,8,7,5,8,8,9,10,10,10,9,9,9,9,8,9,9,7,7,7,6,6,2008
CS Bourgoin-Jallieu,13,13,14,12,13,13,13,13,13,13,13,13,13,12,12,11,12,13,13,13,11,11,12,13,12,11,2008
CA Brive,11,10,10,11,12,11,9,10,10,10,8,7,7,7,6,6,6,6,5,5,4,5,6,6,5,5,2008
Castres olympique,12,12,12,14,11,12,12,12,12,11,12,12,12,11,11,13,11,12,10,10,10,10,10,10,11,12,2008
ASM Clermont,8,6,9,6,8,6,5,6,5,7,5,5,5,5,5,4,5,5,6,6,6,4,4,4,4,3,2008
US Dax,10,11,13,10,9,10,8,9,9,9,10,8,9,9,10,10,10,10,12,12,13,13,13,12,13,13,2008
Stade Montois,14,14,11,13,14,14,14,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,2008
US Montauban,4,9,6,8,10,7,10,8,7,6,7,9,8,8,7,8,7,7,9,8,8,9,9,9,9,9,2008
Montpellier HR,3,8,5,3,5,5,6,7,6,5,6,6,6,6,8,7,8,8,7,7,7,8,8,8,8,8,2008
Stade français Paris,2,2,1,1,1,1,1,1,2,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,2008
Stade toulousain,9,7,4,7,4,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2008
RC Toulon,5,5,8,9,7,9,11,11,11,12,11,11,11,14,14,12,13,11,11,11,12,12,11,11,10,10,2008
USA Perpignan,1,1,3,2,2,3,2,2,1,1,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2008
SC Albi,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2009
Aviron bayonnais,10,7,10,12,9,12,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2009
Biarritz Olympique,10,7,10,12,9,8,5,4,4,5,6,9,8,8,9,8,7,8,9,7,8,10,7,7,8,8,2009
CS Bourgoin-Jallieu,13,13,12,7,11,9,11,7,6,7,9,11,11,12,12,12,11,11,11,11,11,8,9,11,10,11,2009
CA Brive,3,7,7,9,6,10,12,9,10,12,12,12,12,10,9,10,9,8,7,7,8,7,7,7,8,8,2009
Castres olympique,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,3,3,4,2009
ASM Clermont,4,2,3,5,4,2,2,3,2,3,3,3,5,5,5,5,4,3,5,4,3,4,4,4,4,3,2009
US Montauban,12,12,13,10,7,6,7,10,11,10,8,10,10,11,11,11,12,12,12,12,12,12,11,12,12,12,2009
Montpellier HR,9,5,9,6,8,7,9,11,12,11,11,8,7,7,8,7,8,7,8,10,7,9,10,9,7,7,2009
Racing 92,6,10,6,8,12,13,13,13,9,9,7,5,3,3,3,3,3,4,3,5,6,6,6,6,6,6,2009
Stade français Paris,8,11,8,11,13,11,8,8,7,8,10,7,9,9,7,9,10,10,10,9,10,11,12,10,11,10,2009
Stade toulousain,5,3,5,4,5,4,6,6,5,4,5,4,6,6,6,6,5,6,6,6,5,5,5,5,5,5,2009
RC Toulon,7,4,2,2,3,5,4,5,8,6,4,6,4,4,4,4,6,5,4,3,2,2,2,1,1,1,2009
USA Perpignan,1,6,4,3,2,3,3,1,3,2,1,1,1,1,1,1,2,1,1,2,4,3,3,2,2,2,2009
