Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
Stade français Paris,1997.0,22.8,7.0,Richard Pool-Jones  Christophe Laussucq  David Auradou,Stade Charléty Stade de France,20000.0,2012
USA Perpignan,1911.0,14.4,11.0,Marc Delpoux  Giampiero de Carli  Patrick Arlettaz,Stade Aimé-Giral,14593.0,2012
Racing 92,2009.0,21.7,6.0,Gonzalo Quesada  Simon Raiwalui,Stade Yves-du-Manoir Stade de France,14000.0,2012
RC Toulon,2008.0,21.8,3.0,Bernard Laporte  Pierre Mignoni  Olivier Azam,Stade Mayol,15000.0,2012
Stade toulousain,1907.0,34.9,1.0,Guy Novès  William Servat  Jean-Baptiste Élissalde,Stade Ernest-Wallon Stadium municipal,19500.0,2012
Aviron bayonnais,2004.0,18.15,8.0,Christian Lanta  Christophe Deylaud,Stade Jean-Dauger,16934.0,2013
Biarritz Olympique,1996.0,16.94,9.0,Laurent Rodriguez  Didier Faugeron,Parc des sports d'Aguiléra,15000.0,2013
Union Bordeaux Bègles,2011.0,12.86,12.0,Raphaël Ibañez  Régis Sonnes  Vincent Etcheto  Joe Worsley,Stade André-Moga Stade Chaban-Delmas,,2013
CA Brive,2013.0,11.09,16.0,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech,13979.0,2013
Castres olympique,1989.0,17.33,4.0,Matthias Rolland  Serge Milhas  David Darricarrère,Stade Pierre-Antoine,11500.0,2013
ASM Clermont,1925.0,26.72,1.0,Vern Cotter  Franck Azéma,Stade Marcel-Michelin,18030.0,2013
FC Grenoble,2012.0,18.64,11.0,Fabrice Landreau  Sylvain Bégon  Franck Corrihons,Stade Lesdiguières Stade des Alpes,,2013
Montpellier HR,2003.0,19.97,5.0,Fabien Galthié  Mario Ledesma  Stéphane Glas,Stade Yves-du-Manoir,14700.0,2013
US Oyonnax,2013.0,9.17,15.0,Christophe Urios  Frédéric Charrier  Lipi Sinnott,Stade Charles-Mathon,11400.0,2013
Stade français Paris,1997.0,24.97,10.0,Gonzalo Quesada / Patricio Noriega  Jean-Frédéric Dubois,Stade Jean-Bouin,20000.0,2013
USA Perpignan,1911.0,14.95,7.0,Marc Delpoux  Giampiero de Carli  Patrick Arlettaz,Stade Aimé-Giral,15000.0,2013
Racing 92,2009.0,22.45,6.0,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade olympique Yves-du-Manoir,14000.0,2013
RC Toulon,2008.0,23.66,2.0,Bernard Laporte  Jacques Delmas  Pierre Mignoni,Stade Mayol,15820.0,2013
Stade toulousain,1907.0,35.42,3.0,Guy Novès  William Servat  Jean-Baptiste Élissalde,Stade Ernest-Wallon,19500.0,2013
Aviron bayonnais,2004.0,15.76,10.0,/ Patricio Noriega  Nicolas Morlaes,Stade Jean-Dauger,16934.0,2014
Union Bordeaux Bègles,2011.0,15.86,8.0,Raphaël Ibañez  Régis Sonnes  Vincent Etcheto  Joe Worsley,Stade Chaban-Delmas et stade André-Moga[Note 1].[2],42394.0,2014
CA Brive,2013.0,13.63,9.0,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech,13979.0,2014
Castres olympique,1989.0,19.04,6.0,Matthias Rolland  David Darricarrère,Stade Pierre-Antoine,11500.0,2014
ASM Clermont,1925.0,27.9,3.0,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin,18030.0,2014
FC Grenoble,2012.0,20.77,11.0,Fabrice Landreau  Bernard Jackman  Sylvain Bégon  Mike Prendergast,Stade des Alpes[3],20068.0,2014
Lyon OU,2014.0,21.03,15.0,Olivier Azam  Scott Wisemantel,Matmut Stadium[Note 2],11807.0,2014
Montpellier HR,2003.0,22.54,2.0,Fabien Galthié puis Jake White  Mario Ledesma puis Shaun Sowerby  Stéphane Glas,Altrad Stadium,14700.0,2014
US Oyonnax,2013.0,14.28,12.0,Christophe Urios  Frédéric Charrier  Joe El Abd,Stade Charles-Mathon,11400.0,2014
Stade français Paris,1997.0,25.28,7.0,Gonzalo Quesada  Simon Raiwalui  Jean-Frédéric Dubois,Stade Jean-Bouin,20000.0,2014
Racing 92,2009.0,25.36,5.0,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade olympique Yves-du-Manoir,14000.0,2014
Stade rochelais,2014.0,14.47,17.0,Patrice Collazo  Fabrice Ribeyrolles puis  Xavier Garbajosa,Stade Marcel-Deflandre,15000.0,2014
RC Toulon,2008.0,25.37,1.0,Bernard Laporte  Jacques Delmas  Pierre Mignoni,Stade Mayol[Note 3],15820.0,2014
Stade toulousain,1907.0,35.02,4.0,Guy Novès  William Servat  Jean-Baptiste Élissalde,Stade Ernest-Wallon[Note 4],19500.0,2014
SU Agen,2015.0,11.62,18.0,Philippe Sella  Mathieu Blin  Stéphane Prosper  Jean-Jacques Crenca,Stade Armandie,14000.0,2015
Union Bordeaux Bègles,2011.0,20.43,7.0,Raphaël Ibañez  Régis Sonnes  Émile Ntamack  Joe Worsley,Stade Chaban-Delmas,34694.0,2015
CA Brive,2013.0,15.28,10.0,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech,13979.0,2015
Castres olympique,1989.0,20.34,12.0,Christophe Urios  Joe El Abd Frédéric Charrier,Stade Pierre-Antoine,11500.0,2015
ASM Clermont,1925.0,29.2,2.0,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin,18030.0,2015
Racing 92,2009.0,24.26,5.0,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade Yves-du-Manoir,14000.0,2015
