Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,,11.9,10,Christophe Deylaud  Christian Lanta,Stade Armandie,14 000
Aviron bayonnais,,17.2,7,Christian Gajan  Thomas Lièvremont  puis  Jean-Pierre Élissalde  Didier Faugeron puis  Didier Faugeron  Denis Avril,Stade Jean-Dauger,16 934
Biarritz olympique,,16.6,5,Patrice Lagisquet  Laurent Rodriguez  Serge Milhas  John Isaac,Parc des sports d'Aguiléra,15 000
Bordeaux Bègles,,8.7,5 (Pro D2),Marc Delpoux  Laurent Armand  Vincent Etcheto,Stade André-Moga Stade Chaban-Delmas,9 600 34 694
CA Brive,,13.65,12,Ugo Mola  Didier Casadeï,Stade Amédée-Domenech,15 000
Castres olympique,,15.1,3,Laurent Labit  Laurent Travers,Stade Pierre-Antoine,11 500
ASM Clermont Auvergne,,24.0,4,Vern Cotter  Franck Azéma,Stade Marcel-Michelin,18 030
Lyon OU,,14.5,1 (Pro D2),Raphaël Saint-André Matthieu Lazerges puis Xavier Sadourny,Stade Vuillermet Matmut Stadium,4 822 8 000
Montpellier HR,,17.0,6,Fabien Galthié  Éric Béchu  Didier Bès,Stade Yves-du-Manoir,14 700
Stade français Paris,,21.3,11,Michael Cheika  Chris Whitaker  Christophe Laussucq  Mario Ledesma,Stade Charléty,20 000
USA Perpignan,,17.5,9,Jacques Delmas (jusqu'au 21/11/2011) Bernard Goutta  Christophe Manas,Stade Aimé-Giral,14 593
Racing Métro 92,,22.4,2,Pierre Berbizier  Simon Mannix puis Gonzalo Quesada,Stade Yves-du-Manoir,14 000
RC Toulon,,23.0,8,Philippe Saint-André puis Bernard Laporte  Pierre Mignoni  Olivier Azam,Stade Mayol,15 000
Stade toulousain,,32.0,1 (Champion),Guy Novès  Yannick Bru  Jean-Baptiste Élissalde,Stade Ernest-Wallon,19 500
