Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SC Albi,,8.0,3e (Pro D2),Daniel Blach  Éric Béchu,Stadium municipal,11 500
Aviron bayonnais,,12.0,7e,Richard Dourthe(jusque janvier 2010) Christian Gajan (à partir de janvier 2010),Stade Jean-Dauger,16 934
Biarritz olympique,,14.0,5e,Jean-Michel Gonzalez  Jack Isaac,Parc des sports d'Aguiléra,15 000
CS Bourgoin-Jallieu,,10.0,11e,Éric Catinot  Xavier Péméja,Stade Pierre-Rajon,9 441
CA Brive,,16.0,6e,Laurent Seigne,Stade Amédée-Domenech,15 000
Castres olympique,,11.0,12e,Laurent Labit  Laurent Travers,Stade Pierre-Antoine,11 500
ASM Clermont Auvergne,,18.9,3e (finaliste),Vern Cotter,Stade Marcel-Michelin,16 334
US Montauban,,10.2,8e,Marc Raynaud,Stade Sapiac,11 937
Montpellier HR,,12.8,10e,Pascal Mancuso  Warren Britz,Stade Yves-du-Manoir,15 000
Stade français Paris,,21.0,4e,Jacques Delmas,Stade Charléty. Stade Jean-Bouin,20 000
USA Perpignan,,13.0,1er (Champion),Jacques Brunel,Stade Aimé-Giral,16 593
Racing Métro 92,,16.0,1er (Pro D2),Pierre Berbizier,Stade Yves-du-Manoir,14 000
RC Toulon,,16.5,9e,Philippe Saint-André,Stade Mayol,13 700
Stade toulousain,,17.0,2e,Guy Novès,Stade Ernest-Wallon,19 500
