Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
Union Bordeaux Bègles,V,D,V,V,V,V,D,V,D,V,V,V,V,V,D,D,V,V,V,D,V,D,D,V,D,V,2024
Castres olympique,V,D,V,D,V,D,V,D,V,V,D,D,D,V,V,N,V,D,N,V,V,D,V,D,V,D,2024
ASM Clermont,V,D,V,D,V,D,V,D,V,V,V,D,D,V,D,D,D,D,D,V,D,V,D,V,V,V,2024
Lyon OU,V,V,D,V,D,V,D,D,D,D,D,N,N,V,V,V,D,V,V,D,V,D,D,D,D,D,2024
Montpellier HR,D,V,D,D,D,V,D,V,D,V,D,V,V,V,D,D,D,V,D,V,D,V,V,D,V,D,2024
Stade français Paris,D,V,D,D,V,D,D,V,D,V,D,V,D,D,D,V,D,V,V,D,D,D,D,V,D,V,2024
Section paloise,D,V,D,V,D,V,D,D,D,D,V,D,V,D,V,D,V,V,V,D,D,D,V,V,V,V,2024
USA Perpignan,D,D,D,V,V,D,V,D,V,D,D,D,V,D,V,N,D,D,D,N,V,D,V,D,D,V,2024
Racing 92,D,V,D,D,V,V,D,V,V,D,D,D,N,D,D,D,V,D,V,V,D,V,N,V,D,V,2024
Stade rochelais,V,D,V,V,V,D,V,D,V,D,D,V,D,V,D,D,D,D,N,D,V,V,V,V,V,D,2024
RC Toulon,D,V,V,V,D,D,V,D,V,V,V,V,D,V,V,V,V,D,V,D,V,D,D,D,V,D,2024
Stade toulousain,V,V,V,D,D,V,V,V,D,V,V,N,V,D,V,V,V,V,D,V,V,V,V,D,V,D,2024
RC Vannes,D,D,V,D,D,D,D,V,D,D,V,D,D,D,V,V,V,D,D,N,D,V,D,D,D,D,2024
