Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
Section paloise,2015,23.02,9,Simon Mannix  Carl Hayman  Frédéric Manca,Stade du Hameau (Pau),18324.0,2017
SU Agen,2017,12.32,16,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14042.0,2017
Stade rochelais,2014,22.81,1,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre (La Rochelle),16000.0,2017
RC Toulon,2008,26.39,4,Fabien Galthié  Fabrice Landreau  Marc Dal Maso  Manny Edmonds,Stade Mayol (Toulon),18200.0,2017
Stade toulousain,1907,30.86,12,Ugo Mola  William Servat  Pierre-Henry Broncan  Jean Bouilhou,Stade Ernest-Wallon (Toulouse),19500.0,2017
SU Agen,2017,13.8,11,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14042.0,2018
Union Bordeaux Bègles,2011,23.0,10,Rory Teague  Luke Narraway  Joe Worsley  Jean-Baptiste Poux  Brock James,Stade Chaban-Delmas (Bordeaux),34694.0,2018
Castres olympique,1989,23.7,6,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12500.0,2018
ASM Clermont,1925,32.5,9,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2018
FC Grenoble,2018,18.0,16,Stéphane Glas  Dewald Senekal,Stade des Alpes (Grenoble),20068.0,2018
Lyon OU,2016,29.8,5,Pierre Mignoni  Karim Ghezal Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),16000.0,2018
Montpellier HR,2003,27.0,1,Vern Cotter  Nathan Hines Alex King,GGL Stadium (Montpellier),15697.0,2018
Stade français Paris,1997,34.0,12,Heyneke Meyer  Pieter de Villiers  Paul O'Connell Mike Prendergast  John McFarland,Stade Jean-Bouin (Paris),20000.0,2018
Section paloise,2015,25.0,8,Simon Mannix  Carl Hayman  Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18324.0,2018
USA Perpignan,2018,16.0,15,Christian Lanta  Perry Freshwater  Patrick Arlettaz,Stade Aimé-Giral (Perpignan),14593.0,2018
Racing 92,2009,24.0,2,Laurent Travers  Laurent Labit  Chris Masoe,Paris La Défense Arena (Nanterre),32000.0,2018
Stade rochelais,2014,25.6,7,Jono Gibbes  Grégory Patat  Xavier Garbajosa  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16000.0,2018
RC Toulon,2008,30.0,4,Patrice Collazo Juan Martín Fernández Lobbe Sébastien Tillous-Borde,Stade Mayol (Toulon),18200.0,2018
Stade toulousain,1907,32.0,3,Ugo Mola  Régis Sonnes  William Servat  Jean Bouilhou  Clément Poitrenaud  Laurent Thuéry,Stade Ernest-Wallon (Toulouse),19500.0,2018
SU Agen,2017,12.5,12,Philippe Sella  Christophe Laussucq  Rémy Vaquin  Benoît Lecouls,Stade Armandie (Agen),14042.0,2019
Aviron bayonnais,2019,16.6,17,Yannick Bru  Joël Rey  Rémy Ladauge,Stade Jean-Dauger (Bayonne),16934.0,2019
Union Bordeaux Bègles,2011,26.3,10,Christophe Urios  Frédéric Charrier  Julien Laïrle  Jean-Baptiste Poux  Heini Adams,Stade Chaban-Delmas (Bordeaux),34694.0,2019
CA Brive,2019,16.8,15,Jeremy Davidson  Marc Dal Maso  Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2019
Castres olympique,1989,25.0,7,Mauricio Reggiardo  Stéphane Prosper  Patrick Furet  Joe Worsley,Stade Pierre-Fabre (Castres),12500.0,2019
ASM Clermont,1925,33.7,2,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2019
Lyon OU,2016,33.6,3,Pierre Mignoni  David Gérard  Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),35029.0,2019
Montpellier HR,2003,31.8,6,Xavier Garbajosa  Pierre-Philippe Lafond  Nathan Hines,GGL Stadium (Montpellier),15697.0,2019
Stade français Paris,1997,40.2,8,Heyneke Meyer  Pieter de Villiers  Dewald Senekal  Ricardo Loubscher  John McFarland  Laurent Sempéré  Julien Arias,Stade Jean-Bouin (Paris),20000.0,2019
Section paloise,2015,24.2,11,Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18324.0,2019
Racing 92,2009,28.9,4,Laurent Travers  Mike Prendergast  Patricio Noriega  Chris Masoe,Paris La Défense Arena (Nanterre),32000.0,2019
Stade rochelais,2014,29.0,5,Jono Gibbes  Ronan O'Gara  Grégory Patat  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16000.0,2019
RC Toulon,2008,30.7,9,Patrice Collazo Éric Dasalmartini Sébastien Tillous-Borde Casey Laulala,Stade Mayol (Toulon),18200.0,2019
