Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,2017,13.2,13e,Philippe Sella. Christophe Laussucq. Rémy Vaquin. Benoît Lecouls. Régis Sonnes. David Ortiz. Sylvain Mirande,Stade Armandie (Agen),14 042
Aviron bayonnais,2019,15.6,9e,Yannick Bru. Joël Rey. Rémy Ladauge,Stade Jean-Dauger (Bayonne),16 934
Union Bordeaux Bègles,2011,25.3,1er,Christophe Urios. Frédéric Charrier. Julien Laïrle. Jean-Baptiste Poux.  Heini Adams,Stade Chaban-Delmas (Bordeaux),33 290
CA Brive,2019,15.5,11e,Jeremy Davidson  Marc Dal Maso. Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13 979
Castres olympique,1989,23.0,10e,Mauricio Reggiardo  Stéphane Prosper. Pierre-Henry Broncan. David Darricarrère  Joe Worsley,Stade Pierre-Fabre (Castres),12 500
ASM Clermont,1925,28.9,6e,Franck Azéma. Bernard Goutta. Xavier Sadourny. Didier Bès  Benson Stanley,Stade Marcel-Michelin (Clermont-Ferrand),19 022
Lyon OU,2016,32.9,2e,Pierre Mignoni. David Gérard. David Attoub  Kendrick Lynn,Matmut Stadium Gerland (Lyon),35 029[4]
Montpellier HR,2003,29.1,8e,Xavier Garbajosa. Pierre-Philippe Lafond. Philippe Saint-André. Olivier Azam. Jean-Baptiste Élissalde,GGL Stadium (Montpellier),15 697
Stade français,1997,38.8,14e,Gonzalo Quesada  Laurent Sempéré. Julien Arias,Stade Jean-Bouin (Paris),20 000[5]
Section paloise,2015,22.5,12e,Nicolas Godignon. Frédéric Manca. Thomas Domingo. Geoffrey Lanne-Petit. Sébastien Piqueronies  Paul Tito,Stade du Hameau (Pau),14 588
Racing 92,2009,28.9,3e,Laurent Travers. Dimitri Szarzewski  Mike Prendergast  Patricio Noriega.,Paris La Défense Arena (Nanterre),32 000
Stade rochelais,2014,25.9,5e,Jono Gibbes  Ronan O'Gara  Grégory Patat,Stade Marcel-Deflandre (La Rochelle),16 000
RC Toulon,2008,32.5,4e,Patrice Collazo. Éric Dasalmartini. Julien Dupuy,Stade Mayol (Toulon),18 200
Stade toulousain,1907,36.6,7e,Ugo Mola. Jean Bouilhou. Clément Poitrenaud. Laurent Thuéry. Virgile Lacombe  Alan-Basson Zondagh,Stade Ernest-Wallon (Toulouse),19 500
