Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Agen,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Bayonne,P,G,G,P,P,G,G,P,G,P,P,P,P,G,P,G,G,P,P,G,P,P,P,G,P,P
Bordeaux Bègles,P,G,P,N,P,P,G,G,G,G,P,P,G,G,G,G,G,P,G,P,G,G,G,G,P,P
Brive,G,P,G,G,P,P,P,G,P,P,G,G,P,G,G,G,P,G,P,G,P,G,P,P,P,P
Castres,G,P,G,P,P,P,G,N,P,P,G,G,G,G,P,P,G,P,G,G,G,G,G,P,G,G
Clermont,G,P,G,N,G,G,G,P,G,G,P,P,P,G,G,P,G,G,P,G,G,P,P,G,P,G
Lyon,P,P,G,N,G,G,G,G,P,G,G,P,P,P,G,P,P,G,G,G,P,G,P,G,P,G
Montpellier,P,P,P,P,G,G,P,G,P,P,G,P,P,P,P,P,P,G,G,G,G,P,G,P,G,P
Paris,G,G,P,G,P,P,G,P,G,P,G,P,G,P,P,G,P,P,G,P,G,G,G,G,G,G
Pau,G,G,P,N,G,P,P,P,P,P,P,G,G,P,P,G,P,P,P,P,G,P,G,P,P,G
Racing 92,G,G,P,P,P,G,P,G,G,G,G,G,G,G,P,G,G,G,P,P,P,P,G,G,G,G
La Rochelle,G,P,G,G,G,G,G,G,P,G,P,G,G,P,G,P,G,G,P,G,G,P,P,G,G,P
Toulon,P,G,P,G,G,G,P,G,G,G,P,G,P,P,G,P,P,G,G,P,P,G,G,P,G,P
Toulouse,P,G,G,G,G,P,P,N,G,G,G,G,G,G,G,G,G,P,G,P,P,G,P,P,G,G
