Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain C1,26,17,1,8,92,53,8,3,767,557,210,81
2,Stade rochelais,26,17,0,9,79,41,6,4,726,452,274,78
3,Racing 92,26,17,0,9,82,48,6,4,757,577,180,78
4,Union Bordeaux Bègles,26,15,1,10,78,41,7,3,740,546,194,72
5,ASM Clermont,26,15,1,10,88,61,6,3,830,619,211,71
6,Stade français Paris,26,15,0,11,69,63,6,4,701,622,79,70
7,Castres olympique,26,15,1,10,61,63,3,4,625,676,-51,69
8,RC Toulon,26,14,0,12,62,53,7,3,641,605,36,66
9,Lyon OU,26,14,1,11,74,56,3,4,678,568,110,65
10,Montpellier HR C2,26,10,0,16,51,58,6,8,579,615,-36,54
11,CA Brive,26,11,0,15,52,78,2,5,585,711,-126,51
12,Section paloise,26,9,1,16,65,76,2,6,688,752,-64,46
13,Aviron bayonnais,26,10,0,16,48,94,1,5,565,796,-231,46
14,SU Agen,26,0,0,26,30,146,0,2,315,1101,-786,2
