Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain,26,21,2,3,102,57,9,1,820,508,312,98
2,ASM Clermont,26,16,3,7,93,50,9,4,828,535,293,83
3,Lyon OU,26,17,1,8,72,56,7,1,683,525,158,78
4,Racing 92,26,15,1,10,95,55,8,4,750,563,187,74
5,Stade rochelais,26,16,0,10,92,69,6,1,719,616,103,71
6,Montpellier HR,26,14,1,11,82,55,6,6,659,546,113,70
7,Castres olympique T,26,15,0,11,48,46,4,5,508,499,9,69
8,Stade français Paris,26,14,0,12,58,62,4,4,583,579,4,64
9,RC Toulon,26,12,0,14,72,59,6,3,572,542,30,57
10,Union Bordeaux Bègles,26,12,1,13,66,84,4,3,618,711,-93,57
11,Section paloise,26,9,0,17,51,91,2,5,501,763,-262,43
12,SU Agen,26,8,1,17,38,78,0,4,431,654,-223,38
13,FC Grenoble P,26,5,2,19,32,82,0,5,448,691,-243,29
14,USA Perpignan P,26,2,0,24,41,98,0,4,433,821,-388,12
