Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Agen,P,G,P,G,P,P,P,N,P,P,G,P,P,P,P,G,G,P,G,P,P,P,G,G,P,P
Bordeaux-Bègles,G,P,N,P,G,G,P,G,P,G,G,G,G,P,G,P,G,P,G,P,G,P,P,P,P,P
Castres,G,G,P,G,P,G,P,P,G,G,P,P,P,G,G,G,G,G,G,P,G,G,P,P,G,P
Clermont,G,G,G,G,P,G,P,G,N,G,G,N,G,G,P,G,P,G,G,G,N,P,G,G,P,P
Grenoble,P,P,P,P,G,P,G,N,N,P,P,G,P,P,P,P,P,P,P,P,G,G,P,P,P,P
Lyon,N,P,G,G,P,G,G,P,G,P,G,P,G,G,G,G,G,P,P,G,G,G,P,G,G,G
Montpellier,P,G,N,P,G,G,G,P,P,G,P,P,G,P,P,P,P,G,G,G,G,P,G,G,G,G
Paris,G,G,P,G,G,P,G,G,P,P,P,G,G,G,P,P,G,P,P,G,P,G,P,G,P,G
Pau,P,G,G,P,P,G,G,P,P,P,P,P,P,G,G,P,P,G,P,P,P,P,G,P,G,P
Perpignan,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,G,P,P,P,G,P,P,P,P,P,P
Racing 92,G,P,G,P,G,G,P,G,G,G,P,G,P,G,P,P,P,G,G,G,N,G,P,P,G,G
La Rochelle,G,P,P,G,G,P,G,G,G,G,G,G,G,P,G,G,P,P,P,P,P,G,G,G,P,G
Toulon,P,P,G,P,G,P,P,P,G,P,G,G,P,P,G,P,G,G,P,P,G,P,G,P,G,G
Toulouse,N,G,G,G,P,P,G,G,G,G,G,N,G,G,G,G,G,G,G,G,P,G,G,G,G,G
