Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,2017,13.8,11e,Philippe Sella  Stéphane Prosper  Mauricio Reggiardo,Stade Armandie (Agen),14 042
Union Bordeaux Bègles,2011,23.0,10e,Rory Teague  Luke Narraway  Joe Worsley  Jean-Baptiste Poux  Brock James,Stade Chaban-Delmas (Bordeaux),34 694
Castres olympique,1989,23.7,6e,Christophe Urios  Joe El Abd  Frédéric Charrier,Stade Pierre-Fabre (Castres),12 500
ASM Clermont,1925,32.5,9e,Franck Azéma  Bernard Goutta  Didier Bès  Xavier Sadourny,Stade Marcel-Michelin (Clermont-Ferrand),19 022
FC Grenoble,2018,18.0,2e (Pro D2),Stéphane Glas  Dewald Senekal,Stade des Alpes (Grenoble),20 068
Lyon OU,2016,29.8,5e,Pierre Mignoni  Karim Ghezal Kendrick Lynn David Attoub,Matmut Stadium Gerland (Lyon),16 000[2] 24 000
Montpellier HR,2003,27.0,1re,Vern Cotter  Nathan Hines Alex King,GGL Stadium (Montpellier),15 697
Stade français,1997,34.0,12e,Heyneke Meyer  Pieter de Villiers  Paul O'Connell Mike Prendergast  John McFarland,Stade Jean-Bouin (Paris),20 000[3]
Section paloise,2015,25.0,8e,Simon Mannix  Carl Hayman  Nicolas Godignon  Frédéric Manca,Stade du Hameau (Pau),18 324
USA Perpignan,2018,16.0,1er (Pro D2),Christian Lanta  Perry Freshwater  Patrick Arlettaz,Stade Aimé-Giral (Perpignan),14 593
Racing 92,2009,24.0,2e,Laurent Travers  Laurent Labit  Chris Masoe,Paris La Défense Arena (Nanterre),32 000
Stade rochelais,2014,25.6,7e,Jono Gibbes  Grégory Patat  Xavier Garbajosa  Akvsenti Giorgadze,Stade Marcel-Deflandre (La Rochelle),16 000
RC Toulon,2008,30.0,4e,Patrice Collazo Juan Martín Fernández Lobbe Sébastien Tillous-Borde,Stade Mayol (Toulon),18 200
Stade toulousain,1907,32.0,3e,Ugo Mola  Régis Sonnes  William Servat  Jean Bouilhou  Clément Poitrenaud  Laurent Thuéry,Stade Ernest-Wallon (Toulouse),19 500
