Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,7,12,13,9,12,10,7,3,4,7,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
Union Bordeaux Bègles,3,7,2,1,1,1,2,2,2,2,2,1,2,1,1,2,3,2,2,2,2,2,2,2,2,2
Castres olympique,6,5,4,6,3,7,6,7,7,5,7,7,8,8,7,6,5,5,5,5,5,5,5,5,5,6
ASM Clermont,1,3,3,7,6,8,5,6,6,6,3,5,5,4,5,5,6,7,9,6,7,6,8,7,7,5
Lyon OU,5,2,7,5,7,4,8,9,10,12,13,11,13,10,9,8,8,6,6,7,6,8,9,11,11,11
Montpellier HR,10,8,10,10,13,11,12,11,11,9,9,8,7,7,8,9,9,8,10,8,9,9,6,8,9,9
Stade français Paris,12,11,8,13,11,13,13,12,13,10,12,10,11,13,13,12,14,11,11,12,12,12,13,12,12,12
Section paloise,14,9,12,8,8,6,9,10,12,13,10,13,10,11,10,11,10,10,7,9,10,11,10,9,8,8
USA Perpignan,8,13,14,12,9,12,11,13,9,11,11,12,12,12,11,10,12,13,13,13,13,13,12,13,13,13
Racing 92,9,4,11,11,10,9,10,8,8,8,8,9,9,9,12,13,11,12,12,11,11,10,11,10,10,10
Stade rochelais,4,10,5,4,2,3,3,4,3,3,6,6,6,6,6,7,7,9,8,10,8,7,7,6,6,7
RC Toulon,11,6,6,3,4,5,4,5,5,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
Stade toulousain,2,1,1,2,5,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1
RC Vannes,13,14,9,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14
