Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain T,26,18,1,7,118,52,11,5,891,462,429,90
2,Union Bordeaux Bègles C1,26,17,0,9,98,72,5,5,762,609,153,78
3,RC Toulon,26,15,0,11,79,68,7,5,680,595,85,72
4,Aviron bayonnais,26,15,1,10,72,76,2,4,632,650,-18,68
5,ASM Clermont,26,13,0,13,85,67,6,5,674,627,47,63
6,Castres olympique,26,13,2,11,69,71,3,4,626,658,-32,63
7,Stade rochelais,26,13,1,12,75,65,5,3,617,635,-18,62
8,Section paloise,26,13,0,13,73,92,4,5,682,719,-37,61
9,Montpellier HR,26,12,0,14,66,64,3,5,623,609,14,56
10,Racing 92,26,11,2,13,81,83,1,7,710,720,-10,56
11,Lyon OU,26,10,2,14,77,84,2,4,675,722,-47,50
12,Stade français Paris,26,10,0,16,64,92,2,3,597,755,-158,45
13,USA Perpignan,26,9,2,15,40,72,2,2,469,647,-178,44
14,RC Vannes P,26,7,1,18,76,115,1,5,661,891,-230,36
