0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Résultats (▼dom., ►ext.)",BAY,BOR,CAS,CLE,LYO,MON,SFR,PAU,PER,RAC,LAR,TLN,TLS,VAN
Aviron bayonnais,—,36-32,33-12,31-18,28-14,28-27,21-13,27-22,21-19,32-15,37-7,18-10,12-8,38-32
Union Bordeaux Bègles,30-27,—,34-29,22-18,20-22,9-6,46-26,19-6,66-12,52-34,10-21,21-17,32-24,59-28
Castres olympique,33-3,3-13,—,34-29,30-25,30-26,35-13,24-19,27-12,31-28,28-24,28-26,28-23,32-13
ASM Clermont,26-10,32-27,54-10,—,39-31,18-22,55-20,39-7,31-13,21-23,33-19,19-18,18-35,55-33
Lyon OU,38-49,28-26,40-38,22-30,—,32-23,35-3,27-29,17-12,34-47,53-17,27-20,17-17,36-21
Montpellier HR,42-10,46-27,21-17,10-23,22-26,—,38-32,30-3,19-13,21-17,16-0,30-38,11-20,26-24
Stade français,31-27,19-46,21-10,36-6,31-30,29-20,—,39-37,24-7,40-24,22-17,10-14,21-27,34-31
Section paloise,51-29,22-26,33-26,20-14,29-15,40-38,30-16,—,23-6,23-33,32-18,25-21,14-22,48-24
USA Perpignan,16-11,17-29,20-20,33-3,29-26,7-26,20-18,11-10,—,28-24,21-13,13-22,42-35,32-13
Racing 92,24-24,36-31,20-27,33-20,25-25,25-27,49-24,29-47,30-23,—,16-17,22-6,17-21,25-30
Stade rochelais,29-28,32-22,12-12,20-15,43-22,47-18,35-18,49-25,38-15,21-26,—,19-15,22-19,14-23
RC Toulon,39-19,27-10,30-28,31-24,21-10,30-17,24-6,56-25,40-19,36-24,45-26,—,16-50,54-19
Stade toulousain,41-6,12-16,52-6,48-14,43-3,27-17,38-23,55-10,41-9,35-37,35-27,57-5,—,63-21
RC Vannes,21-27,29-37,34-28,19-20,30-20,37-24,33-28,26-52,20-20,24-27,29-30,29-19,18-43,—
