Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Stade toulousain,1907,49.0,1er,Ugo Mola,Stade Ernest-Wallon. Toulouse,18 784[2]
Stade français,1997,45.0,2e,Laurent Labit,Stade Jean-Bouin. Paris,19 607[3]
Union Bordeaux Bègles,2011,30.0,3e,Yannick Bru,Stade Chaban-Delmas. Bordeaux,34 635[4]
RC Toulon,2008,35.0,4e,Pierre Mignoni,Stade Mayol. Toulon,16 437[5]
Stade rochelais,2014,37.0,5e,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16 689[6]
Racing 92,2009,27.3,6e,Patrice Collazo,Paris La Défense Arena. Nanterre,30 680[7]
Castres olympique,1989,25.0,7e,Xavier Sadourny,Stade Pierre-Fabre. Castres,11 778[8]
ASM Clermont,1925,34.0,8e,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19 357[9]
Section paloise,2015,28.0,9e,Sébastien Piqueronies,Stade du Hameau. Pau,14 999[10]
USA Perpignan,2021,22.5,10e,Franck Azéma,Stade Aimé-Giral. Perpignan,14 727[11]
Lyon OU,2016,35.0,11e,Karim Ghezal,Matmut Stadium Gerland. Lyon,35 052[12]
Aviron bayonnais,2022,30.0,12e,Grégory Patat,Stade Jean-Dauger. Bayonne,14 537[13]
Montpellier HR,2003,28.0,13e,Joan Caudullo,GGL Stadium. Montpellier,14 392[14]
RC Vannes,2024,19.0,2e (Pro D2),Jean-Noël Spitzer,Stade de la Rabine. Vannes,11 865[15]
