Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,2015,11.62[1],4 (Pro D2),Philippe Sella  Mathieu Blin  Stéphane Prosper  Jean-Jacques Crenca,Stade Armandie,14 000
Union Bordeaux Bègles,2011,20.43,7,Raphaël Ibañez  Régis Sonnes  Émile Ntamack  Joe Worsley,Stade Chaban-Delmas,34 694
CA Brive,2013,15.28,10,Nicolas Godignon  Didier Casadeï  Philippe Carbonneau,Stade Amédée-Domenech,13 979
Castres olympique,1989,20.34,12,Christophe Urios  Joe El Abd Frédéric Charrier,Stade Pierre-Antoine,11 500
ASM Clermont,1925,29.20,2,Franck Azéma  Jono Gibbes,Stade Marcel-Michelin,18 030
Racing 92,2009,24.26,5,Laurent Travers  Laurent Labit  Ronan O'Gara,Stade Yves-du-Manoir,14 000
FC Grenoble,2012,21.73,11,Fabrice Landreau  Bernard Jackman  Sylvain Bégon  Mike Prendergast,Stade des Alpes,20 068
Montpellier HR,2003,23.46,8,Jake White  Shaun Sowerby Scott Wisemantel,Altrad Stadium,15 000
US Oyonnax,2013,16.01,6,Olivier Azam puis Johann Authier  Pascal Peyron  Stéphane Glas,Stade Charles-Mathon,11 400
Stade français,1997,27.65,4,Gonzalo Quesada  Simon Raiwalui,Stade Jean-Bouin,20 000
Section paloise,2015,17.31,1 (Pro D2),Simon Mannix[2]  Joël Rey  David Aucagne,Stade du Hameau,13 800
Stade rochelais,2014,16.43,9,Patrice Collazo  Xavier Garbajosa,Stade Marcel-Deflandre,15 000
RC Toulon,2008,26.86,1,Bernard Laporte  Jacques Delmas[3]  Steve Meehan,Stade Mayol,15 820
Stade toulousain,1907,30.87,3,Ugo Mola  Jean-Baptiste Élissalde  William Servat,Stade Ernest-Wallon,19 500
