Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain T C1,26,16,1,9,103,72,7,3,765,592,173,76
2,Stade français Paris,26,17,1,8,57,49,4,1,539,511,28,75
3,Union Bordeaux Bègles,26,15,0,11,80,65,5,4,677,558,119,69
4,RC Toulon,26,15,0,11,72,58,5,4,704,519,185,69
5,Stade rochelais,26,13,1,12,69,49,5,7,595,496,99,66
6,Racing 92,26,13,0,13,79,56,5,5,622,546,76,62
7,Castres olympique,26,13,0,13,69,77,4,6,643,642,1,62
8,ASM Clermont,26,12,2,12,73,77,6,3,621,671,-50,61
9,Section paloise,26,13,0,13,70,76,3,5,630,609,21,60
10,USA Perpignan,26,13,0,13,80,85,5,1,634,701,-67,58
11,Lyon OU,26,12,0,14,72,90,5,2,630,754,-124,55
12,Aviron bayonnais,26,11,0,15,64,75,2,6,572,669,-97,52
13,Montpellier HR,26,9,0,17,60,79,1,7,542,655,-113,44
14,Oyonnax Rugby P,26,7,1,18,58,99,0,4,539,790,-251,34
