0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Résultats (▼dom., ►ext.)",BAY,BOR,CAS,CLE,LYO,MON,OYO,SFR,PAU,PER,RAC,LAR,TLN,TLS
Aviron bayonnais,—,15-34,17-28,21-13,39-10,34-19,21-17,16-3,35-16,23-20,27-23,13-12,10-46,26-7
Union Bordeaux Bègles,24-23,—,25-23,41-7,46-10,26-13,40-7,26-30,10-20,46-22,21-5,34-14,22-17,31-28
Castres olympique,37-0,41-12,—,20-23,29-14,27-26,39-11,27-18,24-23,13-17,21-23,25-24,25-17,31-23
ASM Clermont,46-14,35-40,36-20,—,38-21,52-15,15-15,41-18,31-28,38-14,23-18,11-10,27-30,33-37
Lyon OU,42-29,27-10,34-19,41-22,—,20-18,43-26,32-36,38-20,36-24,20-14,28-17,27-15,40-28
Montpellier HR,28-23,10-3,30-21,17-20,41-26,—,21-26,10-12,22-17,20-25,16-19,26-15,27-17,22-29
Oyonnax Rugby,27-20,23-29,22-19,36-17,38-20,35-39,—,19-23,34-13,14-15,13-43,19-17,17-27,21-27
Stade français,28-24,22-18,39-16,14-14,22-13,24-9,28-18,—,25-12,32-19,9-13,18-13,23-20,27-12
Section paloise,42-40,20-11,33-44,22-11,40-10,31-23,39-17,30-6,—,36-24,19-17,20-29,17-9,13-9
USA Perpignan,36-10,37-30,43-12,28-35,51-20,23-16,27-12,7-29,24-39,—,26-5,27-15,26-22,27-17
Racing 92,28-37,23-18,34-30,26-10,22-20,20-44,66-10,11-27,24-15,59-10,—,32-10,20-6,20-27
Stade rochelais,18-15,25-21,24-27,42-3,35-14,18-10,40-21,23-3,25-23,35-6,24-19,—,27-17,29-8
RC Toulon,19-14,32-37,41-19,52-10,30-24,54-7,41-7,19-5,36-13,44-22,31-26,25-23,—,20-19
Stade toulousain,46-26,29-22,33-6,31-10,45-0,38-13,61-34,49-18,31-29,43-34,32-12,31-31,25-17,—
