Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,3,6,11,9,10,11,9,12,10,10,10,10,10,10,10,11,9,9,9,10,10,12,11,11,11,12
Union Bordeaux Bègles,9,5,7,8,7,8,10,7,7,4,2,2,3,3,3,4,3,4,3,6,5,3,3,3,3,3
Castres olympique,7,4,3,2,5,4,3,5,3,6,6,7,7,7,5,3,5,5,7,8,9,8,8,10,8,7
ASM Clermont,12,8,6,10,4,6,6,8,8,8,9,9,9,6,8,8,10,11,10,11,12,11,10,8,10,8
Lyon OU,1,9,8,6,8,9,12,10,12,12,12,13,11,12,11,10,11,10,12,12,11,10,12,12,12,11
Montpellier HR,5,10,13,12,13,13,14,14,14,14,14,14,14,14,13,13,12,12,13,13,13,13,13,13,13,13
Oyonnax Rugby,4,12,12,13,11,12,11,9,11,11,11,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14
Stade français Paris,2,1,1,4,3,1,1,3,5,3,5,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2
Section paloise,8,3,2,1,1,2,4,2,4,2,4,6,6,9,7,5,8,7,8,7,7,9,7,7,9,9
USA Perpignan,14,14,14,14,14,14,13,13,13,13,13,11,12,11,12,12,13,13,11,9,8,7,9,9,7,10
Racing 92,6,2,4,3,2,3,2,1,1,1,1,1,1,4,4,6,6,6,4,3,3,4,5,6,6,6
Stade rochelais,10,11,9,11,12,10,8,11,9,9,8,8,8,8,9,9,7,3,6,5,6,5,6,5,5,5
RC Toulon,11,13,10,7,9,7,5,4,2,5,3,5,5,5,6,7,5,8,5,4,4,6,4,4,3,4
Stade toulousain,13,7,5,5,6,5,7,6,6,7,7,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1
