Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Stade toulousain,1907,62.525,1er,Ugo Mola,Stade Ernest-Wallon. Toulouse,19 500
Stade rochelais C1,2014,40.026,2e,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16 700
Lyon OU,2016,58.555,3e,Fabien Gengenbacher,Matmut Stadium Gerland. Lyon,35 029
Stade français,1997,46.117,4e,Laurent Labit,Stade Jean-Bouin. Paris,20 000
Racing 92,2009,36.048,5e,Stuart Lancaster,Paris La Défense Arena. Nanterre,32 000
Union Bordeaux Bègles,2011,40.879,6e,Yannick Bru,Stade Chaban-Delmas. Bordeaux,28 500
RC Toulon C2,2008,42.385,7e,Pierre Mignoni,Stade Mayol. Toulon,18 200
Aviron bayonnais,2022,29.4,8e,Grégory Patat,Stade Jean-Dauger. Bayonne,18 069
Castres olympique,1989,26.466,9e,Jeremy Davidson,Stade Pierre-Fabre. Castres,12 500
ASM Clermont,1925,39.584,10e,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19 022
Montpellier HR,2003,35.391,11e,Patrice Collazo,GGL Stadium. Montpellier,15 697
Section paloise,2015,29.067,12e,Sébastien Piqueronies,Stade du Hameau. Pau,14 588
USA Perpignan,2021,21.976,13e,Franck Azéma,Stade Aimé-Giral. Perpignan,14 593
Oyonnax Rugby,2023,18.315,1er (Pro D2),Joe El Abd,Stade Charles-Mathon. Oyonnax,11 400
