0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Résultats (▼dom., ►ext.)",BIA,BOR,BRI,CAS,CLE,LYO,MON,SFR,PAU,PER,RAC,LAR,TLN,TLS
Biarritz olympique,—,27-15,37-9,13-48,8-26,5-40,12-27,17-14,19-42,23-25,28-19,27-24,17-45,11-17
Union Bordeaux Bègles,30-27,—,29-10,23-10,25-9,42-10,27-23,37-10,16-23,39-13,13-16,15-16,16-29,17-7
CA Brive,33-10,19-22,—,28-12,27-20,17-31,16-16,19-12,30-13,36-15,12-10,6-8,17-10,8-26
Castres olympique,38-20,23-23,23-22,—,12-0,19-17,25-9,15-9,16-12,28-12,25-3,31-30,27-16,19-13
ASM Clermont,39-11,29-26,41-10,30-34,—,25-16,20-15,29-26,42-20,52-12,26-17,23-22,31-16,16-13
Lyon OU,34-15,15-20,41-0,30-23,28-19,—,43-20,26-22,35-10,47-3,37-35,26-29,10-43,25-19
Montpellier HR,37-22,22-23,39-17,25-24,20-22,30-8,—,30-3,29-12,30-6,22-13,21-11,18-16,15-17
Stade français,65-19,18-31,17-33,34-10,22-14,23-18,27-31,—,21-18,27-17,21-36,25-20,26-24,23-16
Section paloise,33-21,33-37,43-20,16-26,28-20,21-17,23-22,18-9,—,27-22,21-42,16-22,16-16,27-22
USA Perpignan,33-20,22-15,27-10,19-20,26-24,23-28,13-23,22-23,14-29,—,34-13,22-13,12-9,36-13
Racing 92,40-7,14-37,57-19,45-25,33-28,24-20,21-32,53-20,35-29,17-14,—,23-10,21-16,27-18
Stade rochelais,59-17,26-3,41-15,29-10,31-27,25-3,23-29,32-13,36-8,32-16,19-0,—,39-6,16-20
RC Toulon,13-9,21-18,13-9,10-22,32-22,19-13,24-24,38-5,37-20,29-18,20-27,41-11,—,19-15
Stade toulousain,80-7,12-11,18-11,41-0,27-15,27-19,35-10,28-29,38-10,37-15,15-20,23-16,41-10,—
