Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Castres olympique,26,17,1,8,57,45,5,1,565,529,36,76
2,Montpellier HR,26,15,2,9,57,50,4,6,619,503,116,74
3,Union Bordeaux Bègles,26,15,1,10,62,43,5,5,610,484,126,72
4,Stade toulousain T,26,15,0,11,71,40,6,5,638,432,206,71
5,Stade rochelais C1,26,15,0,11,73,45,6,5,640,466,174,71
6,Racing 92,26,16,0,10,70,57,4,2,661,568,93,70
7,ASM Clermont,26,14,0,12,70,58,6,4,649,557,92,66
8,RC Toulon,26,13,2,11,53,45,4,5,572,504,68,65
9,Lyon OU C2,26,13,0,13,67,53,6,6,637,558,79,64
10,Section paloise,26,11,1,14,52,76,1,3,568,664,-96,50
11,Stade français Paris,26,11,0,15,54,63,2,4,544,651,-107,50
12,CA Brive,26,9,1,16,44,62,4,4,453,631,-178,46
13,USA Perpignan P,26,9,0,17,48,75,2,5,491,664,-173,43
14,Biarritz olympique P,26,5,0,21,49,115,1,3,449,885,-436,24
