Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Stade toulousain C1,1907,37.3,1er,Ugo Mola,Stade Ernest-Wallon. Toulouse,19 500
Stade rochelais,2014,27.9,2e,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16 000
Racing 92,2009,29.1,3e,Laurent Travers,Paris La Défense Arena. Nanterre,32 000
Union Bordeaux Bègles,2011,26.2,4e,Christophe Urios,Stade Chaban-Delmas. Bordeaux,34 694
ASM Clermont,1925,31.2,5e,Jono Gibbes,Stade Marcel-Michelin. Clermont-Ferrand,19 022
Stade français,1997,39.1,6e,Gonzalo Quesada,Stade Jean-Bouin. Paris,20 000
Castres olympique,1989,22.8,7e,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12 500
RC Toulon,2008,32.0,8e,Franck Azéma,Stade Mayol. Toulon,18 200
Lyon OU,2016,36.0,9e,Pierre Mignoni,Matmut Stadium Gerland. Lyon,35 029
Montpellier HR C2,2003,28.6,10e,Philippe Saint-André,GGL Stadium. Montpellier,15 697
CA Brive,2019,17.6,11e,Jeremy Davidson,Stade Amédée-Domenech. Brive-la-Gaillarde,13 979
Section paloise,2015,22.6,12e,Sébastien Piqueronies,Stade du Hameau. Pau,14 588
USA Perpignan,2021,17.4,1er (Pro D2),Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14 593
Biarritz olympique,2021,12.8,3e (Pro D2),Matthew Clarkin,Parc des sports d'Aguiléra. Biarritz,13 400
