Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Biarritz olympique,3,10,5,11,12,14,14,12,14,14,14,14,14.0,14.0,14.0,14.0,13.0,14.0,14,14.0,14,14,14,14,14,14
Union Bordeaux Bègles,12,7,9,4,2,2,2,2,1,2,2,1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.1,2,2,2,2,2,3
CA Brive,1,8,3,5,3,5,6,9,10,10,10,12,12.1,12.1,13.1,11.1,12.1,11.1,10,11.0,12,12,12,12,12,12
Castres olympique,5,3,4,6,4,6,5,5,4,7,7,6,5.0,4.0,3.0,5.0,4.0,4.0,5,4.0,5,4,4,3,3,1
ASM Clermont,11,12,10,13,9,11,10,7,8,8,8,7,7.1,7.1,7.1,7.1,8.2,10.1,9.1,9.1,8,8,9,9,9,7
Stade rochelais,9,13,13,12,13,10,7,5,7,6,4,5,4.0,5.0,6.1,6.1,7.1,8.1,7.1,6.1,4,3,3,7,4,5
Lyon OU,4,6,2,3,6,3,3,3,6,4,5,4,6.0,6.0,6.0,3.0,3.0,3.0,3,3.0,6,7,7,5,8,9
Montpellier HR,7,4,7,9,7,8,9,8,5,3,3,3,3.0,3.1,4.2,2.2,2.2,2.2,2.2,2.1,1,1,1,1,1,2
Stade français Paris,13,14,14,14,14,13,12,10,12,11,12,10,10.1,9.1,10.1,10.1,10.1,7.0,8,8.0,11,11,11,11,11,11
Section paloise,10,5,11,7,5,7,8,11,9,9,9,9,9.1,8.1,9.1,9.1,9.1,9.1,11,10.0,10,10,10,10,10,10
USA Perpignan,14,9,12,8,10,12,13,14,13,13,13,13,13.0,13.0,11.0,12.0,11.0,13.0,13,13.0,13,13,13,13,13,13
Racing 92,2,2,6,2,8,4,4,4,3,5,6,8,8.1,10.1,8.1,8.1,6.1,5.1,4.1',5.0,7,6,5,4,5,6
RC Toulon,8,11,8,10,11,9,11,13,11,12,11,11,11.1,11.2,12.3,13.3,14.3,12.3,12.2,12.1,9,9,8,8,7,8
Stade toulousain,6,1,1,1,1,1,1,1,2,1,1,2,2.1,2.1,2.2,4.2,5.2,6.1,6.1,7.1,3,5,6,6,6,4
