Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
SU Agen,,9.81,1 (Pro D2),Christophe Deylaud  Christian Lanta,Stade Armandie,14 600
Aviron bayonnais,,15.75,13,Christian Gajan,Stade Jean-Dauger,16 934
Biarritz olympique,,15.39,7,Jean-Michel Gonzalez  Jack Isaac,Parc des sports d'Aguiléra,15 000
CS Bourgoin-Jallieu,,10.58,11,Éric Catinot (jusqu'au 11 janvier 2011) Xavier Péméja (jusqu'au 11 janvier 2011) Laurent Mignot (à partir du 11 janvier 2011) Stéphane Orjollet (à partir du 11 janvier 2011),Stade Pierre-Rajon,9 441
CA Brive,,14.05,9,Ugo Mola,Stade Amédée-Domenech,15 000
Castres olympique,,13.94,5,Laurent Labit  Laurent Travers,Stade Pierre-Antoine,11 500
ASM Clermont Auvergne,,20.89,3 (champion),Vern Cotter,Stade Marcel-Michelin,16 334
Montpellier HR,,15.01,10,Fabien Galthié,Stade Yves-du-Manoir,15 000
Stade français Paris,,19.28,8,Michael Cheika,Stade Charléty,20 000
USA Perpignan,,14.08,1,Jacques Brunel,Stade Aimé-Giral,16 593
Racing Métro 92,,18.94,6,Pierre Berbizier,Stade Yves-du-Manoir,14 000
Stade rochelais,,8.31,3 (Pro D2),Serge Milhas,Stade Marcel-Deflandre,12 500
RC Toulon,,19.05,2,Philippe Saint-André,Stade Mayol,13 700
Stade toulousain,,29.53,4,Guy Novès,Stade Ernest-Wallon,19 500
