Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité
Castres olympique,1989,23.4,1er,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12 500
Montpellier HR,2003,30.4,2e,Philippe Saint-André,GGL Stadium. Montpellier,15 697
Union Bordeaux Bègles,2011,29.7,3e,Julien Laïrle  Frédéric Charrier,Stade Chaban-Delmas. Bordeaux,34 694
Stade toulousain,1907,43.7,4e,Ugo Mola,Stade Ernest-Wallon. Toulouse,19 500
Stade rochelais C1,2014,30.8,5e,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16 000
Racing 92,2009,29.4,6e,Laurent Travers,Paris La Défense Arena. Nanterre,32 000
ASM Clermont,1925,32.5,7e,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19 022
RC Toulon,2008,38.3,8e,Pierre Mignoni,Stade Mayol. Toulon,18 200
Lyon OU C2,2016,34.6,9e,Xavier Garbajosa,Matmut Stadium Gerland. Lyon,35 029
Section paloise,2015,24.6,10e,Sébastien Piqueronies,Stade du Hameau. Pau,14 588
Stade français,1997,41.3,11e,Gonzalo Quesada,Stade Jean-Bouin. Paris,20 000
CA Brive,2019,19.8,12e,Patrice Collazo,Stade Amédée-Domenech. Brive-la-Gaillarde,13 979
USA Perpignan,2021,17.8,13e,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14 593
Aviron bayonnais,2022,21.6,2e (Pro D2),Grégory Patat,Stade Jean-Dauger. Bayonne,18 069
