Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,14,11,13,10,11,7,10,9,8,6,8,7,6,5,7,5,6,6,5,6,8,8,8,8,7,8
Union Bordeaux Bègles,8,13,9,13,7,12,9,10,10,11,11,8,7,6,4,6,7,7,6,5,5,7,4,4,5,6
CA Brive,10,3,8,12,6,11,12,12,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14,14,14
Castres olympique,13,6,12,8,9,9,7,7,5,10,12,11,12,10,11,10,11,11,11,11,11,11,9,11,10,9
ASM Clermont,12,7,10,4,4,6,4,6,7,9,10,10,10,11,10,11,10,10,9,10,10,10,11,9,10,10
Stade rochelais,5,2,1,3,2,3,2,3,3,2,2,4,5,3,3,3,4,4,4,2,2,2,2,2,2,2
Lyon OU,4,5,11,5,12,10,7,5,9,5,4,6,9,9,8,7,3,3,3,4,4,5,6,4,6,3
Montpellier HR,11,4,3,2,3,4,8,11,11,7,5,5,4,7,6,8,8,9,10,9,9,9,10,10,9,11
Stade français Paris,3,9,5,6,10,5,3,2,2,4,6,3,2,2,2,2,2,2,2,3,3,3,3,3,3,4
Section paloise,6,12,6,11,14,14,13,13,12,12,9,11,11,12,12,12,12,12,12,13,12,12,12,12,12,12
USA Perpignan,9,14,14,14,13,13,14,14,13,13,13,13,13,14,14,14,14,13,13,12,13,13,13,13,13,13
Racing 92,2,8,4,9,8,8,11,8,6,3,3,2,3,3,5,4,5,5,7,8,7,6,7,4,4,5
RC Toulon,1,10,7,7,5,2,5,4,4,8,7,9,8,8,9,9,9,8,8,7,6,4,5,7,8,7
Stade toulousain,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
