Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain,26,17,1,8,76,44,9,2,682,474,208,81
2,Stade rochelais C1,26,17,0,9,75,48,7,3,673,479,194,78
3,Lyon OU,26,14,1,11,81,60,4,5,690,626,64,67
4,Stade français Paris,26,13,2,11,63,48,5,6,616,480,136,67
5,Racing 92,26,14,1,11,80,77,5,3,734,684,50,66
6,Union Bordeaux Bègles,26,13,1,12,53,48,4,5,576,501,75,63
7,RC Toulon C2,26,14,0,12,65,57,3,2,588,557,31,61
8,Aviron bayonnais P,26,13,1,12,57,75,2,2,596,662,-66,58
9,Castres olympique,26,13,1,12,43,58,1,2,532,635,-103,57
10,ASM Clermont,26,11,1,14,68,67,4,6,588,627,-39,56
11,Montpellier HR T,26,11,0,15,68,62,4,6,624,617,7,54
12,Section paloise,26,10,1,15,64,72,5,5,591,634,-43,52
13,USA Perpignan,26,10,0,16,54,87,0,3,503,726,-223,43
14,CA Brive,26,7,0,19,41,85,1,7,440,731,-291,36
