0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Résultats (▼dom., ►ext.)",BAY,BOR,BRI,CAS,CLE,LYO,MON,SFR,PAU,PER,RAC,LAR,TLN,TLS
Aviron bayonnais,—,20-15,37-9,41-10,21-18,19-7,33-30,29-26,20-30,24-20,31-25,29-13,23-18,26-22
Union Bordeaux Bègles,23-15,—,33-13,33-12,18-9,23-9,40-10,15-10,28-0,43-7,29-17,6-36,27-26,25-26
CA Brive,25-22,7-28,—,13-16,20-16,27-31,26-31,22-27,22-17,22-24,38-43,17-19,26-17,7-45
Castres olympique,39-22,23-18,12-6,—,26-22,27-22,26-13,30-20,26-22,26-16,26-26,17-32,31-18,27-17
ASM Clermont,20-25,23-23,38-10,41-26,—,43-20,19-14,32-16,33-24,31-20,32-25,22-13,36-21,13-32
Lyon OU,53-19,36-21,27-30,26-20,34-14,—,31-21,33-27,31-27,41-31,45-11,21-23,23-27,21-14
Montpellier HR,35-14,29-19,26-27,19-28,34-6,26-33,—,23-19,43-17,38-10,17-12,42-31,18-20,17-19
Stade français,26-16,12-6,27-0,26-7,24-18,31-31,27-17,—,37-3,52-3,13-17,27-14,12-17,19-10
Section paloise,22-22,33-7,22-6,40-3,23-18,12-21,35-10,29-31,—,16-14,38-19,32-36,17-34,26-16
USA Perpignan,34-27,23-20,6-17,14-10,10-20,28-21,22-23,31-24,49-29,—,30-21,10-29,19-13,26-21
Racing 92,55-14,31-28,34-24,25-19,46-12,32-19,38-31,10-48,26-13,44-20,—,39-36,43-7,35-39
Stade rochelais,26-6,8-12,32-16,53-7,26-13,16-20,26-22,14-10,21-38,43-8,24-19,—,32-5,30-7
RC Toulon,40-25,35-19,47-0,28-20,30-29,21-3,16-26,37-9,27-16,37-15,14-31,8-23,—,17-6
Stade toulousain,21-16,31-17,54-10,22-18,46-10,36-31,23-9,16-16,34-10,34-13,37-10,26-17,28-8,—
